utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-06 17:27:13.853000+00:00,2736,FW43-KT1-FK,Faucet,Kitchen ,11806,0.0,7.871,1,60.25,1,2.080908374821599,False,1.7704,2.3295473666215045,True,True
2025-02-06 17:28:13.853000+00:00,2736,FW43-KT1-FK,Faucet,Kitchen ,11494,0.0,7.662,1,59.0,1,2.0205199292687057,False,2.4074999999999998,2.9676642611094857,True,True
2025-02-06 07:07:08.218000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,2414,1.0,1.609,1,10.25,1,0.2715665276817978,False,0.4372,0.47785209241156607,True,True
2025-02-06 18:59:04.744000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,2844,1.0,1.896,1,14.75,1,0.354492287842948,False,0.5494999999999999,0.61390666138166,True,True
2025-02-06 19:16:04.623000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,2516,3.0,1.677,0,12.75,1,0.2912144429813038,False,0.5157999999999999,0.7083653796671595,True,True
2025-02-06 19:19:04.639000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,3107,1.0,2.072,1,24.75,1,0.40534571567696354,False,0.7302000000000001,0.6877633313865196,True,True
2025-02-06 21:50:03.843000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,12037,1.0,8.025,1,55.25,1,2.1254051241763627,False,1.3189,2.436999040258755,True,True
2025-02-06 21:51:03.874000+00:00,2816,FW35-KT1-FK,Faucet,Kitchen sink,10883,0.0,7.255,1,48.25,1,1.9029213774025449,False,1.9504000000000001,3.065153148249216,True,True
2025-02-06 06:41:23.455000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,18,0.0,0.012,0,1.5,1,-0.1898705419257178,False,0.003300000000000178,0.003400980235881908,True,True
2025-02-06 07:49:23.119000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,9,0.0,0.006,0,0.5,1,-0.19160418151096834,False,0.0021000000000001777,0.0014491376395006988,True,True
2025-02-06 09:15:22.908000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,8,0.0,0.006,0,0.75,1,-0.19160418151096834,False,0.0027000000000001775,0.0018287822020813793,True,True
2025-02-06 16:42:20.531000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,5,0.0,0.004,0,0.25,1,-0.19218206137271854,False,0.0021000000000001777,0.0011972189572300425,True,True
2025-02-06 19:47:19.599000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,6,0.0,0.004,0,0.25,1,-0.19218206137271854,False,0.0017000000000001777,0.0009486832444108939,True,True
2025-02-06 19:48:19.599000+00:00,3484,FW46-KT-W2,Laundry,Kitchen,10,0.0,0.007,0,0.25,1,-0.19131524158009325,False,0.0023000000000001778,0.001888562036280557,True,True
2025-02-06 19:20:40.992000+00:00,2906,FW02-KT1-DW,Dishwasher,Kitchen,405,1.0,0.27,0,6.0,1,-0.1153240397599451,False,0.028400000000000182,0.08489104127519323,True,True
2025-02-06 19:21:40.979000+00:00,2906,FW02-KT1-DW,Dishwasher,Kitchen,3529,0.0,2.353,0,60.0,1,0.48653783625286334,False,0.2635000000000002,0.7390088332052929,True,True
2025-02-06 19:22:40.979000+00:00,2906,FW02-KT1-DW,Dishwasher,Kitchen,3404,0.0,2.269,0,60.0,1,0.4622668820593559,False,0.49030000000000024,0.9634399075995573,True,True
2025-02-06 21:39:44.813000+00:00,3089,FW27-BA2-F,Faucet,Bathroom2,643,1.0,0.429,0,8.75,1,-0.0693825907508061,False,0.13400000000000017,0.1706621093138474,True,True
2025-02-06 08:27:29.922000+00:00,2131,FW42-KT1-FK,Faucet,Kitchen,1143,2.0,0.762,1,7.75,1,0.026834406230598212,False,0.16920000000000018,0.24372607574877023,True,True
2025-02-06 08:28:29.946000+00:00,2131,FW42-KT1-FK,Faucet,Kitchen,1087,1.0,0.724,0,5.25,1,0.015854688857344857,False,0.23920000000000016,0.29294322544347584,True,True
2025-02-06 14:04:28.149000+00:00,2131,FW42-KT1-FK,Faucet,Kitchen,1864,2.0,1.242,1,15.0,1,0.16552557305064047,False,0.4995000000000001,0.3720060483377767,True,True
2025-02-06 14:39:27.973000+00:00,2131,FW42-KT1-FK,Faucet,Kitchen,2164,1.0,1.443,1,15.25,1,0.22360249915653319,False,0.6437000000000002,0.43195294239573095,True,True
2025-02-06 15:22:27.741000+00:00,2131,FW42-KT1-FK,Faucet,Kitchen,3463,1.0,2.309,0,13.75,1,0.47382447929435945,False,0.8469000000000001,0.6552971251440854,True,True
2025-02-06 21:35:28.554000+00:00,2760,FW59-KT1-FK,Faucet,Kitchen sink,725,2.0,0.483,0,13.25,1,-0.05377983448355136,False,0.1258000000000002,0.1485902643734212,True,True
2025-02-06 21:35:28.554000+00:00,2760,FW59-KT1-FK,Faucet,Kitchen sink,1032,2.0,0.688,1,13.5,1,0.005452851345841678,False,0.18400000000000016,0.23106420464139826,True,True
2025-02-06 21:36:28.550000+00:00,2760,FW59-KT1-FK,Faucet,Kitchen sink,2497,2.0,1.665,1,15.5,1,0.28774716381080273,False,0.3217000000000002,0.5242399895721033,True,True
2025-02-06 22:02:28.416000+00:00,2760,FW59-KT1-FK,Faucet,Kitchen sink,2655,0.0,1.77,1,22.75,1,0.31808585655268695,False,0.5346000000000002,0.6634623325152337,True,True
2025-02-06 06:48:00.735000+00:00,3088,FW27-BA1-F,Faucet,Bathroom1,4931,1.0,3.287,1,49.5,1,0.7564077316901955,False,0.9189000000000002,0.9492066219274867,True,True
2025-02-06 11:50:59.399000+00:00,3088,FW27-BA1-F,Faucet,Bathroom1,2393,1.0,1.596,0,34.0,1,0.26781030858042165,False,0.5964000000000003,0.5989418818029545,True,True
2025-02-06 09:25:20.230000+00:00,2911,FW18-KT1-FK,Faucet,Kitchen,1331,1.0,0.888,0,5.25,1,0.06324083752085931,False,0.16050000000000017,0.27312685290478805,True,True
2025-02-06 13:31:18.835000+00:00,2911,FW18-KT1-FK,Faucet,Kitchen,7571,2.0,5.047,0,32.75,1,1.2649420100303503,False,0.7073000000000002,1.5520305015616354,True,True
2025-02-06 06:10:33.741000+00:00,2731,FW56-KT-FK,Faucet,Kichen,13099,0.0,8.732,1,60.0,1,2.32968565530505,False,2.0869,2.6563842781745994,True,True
