asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,reconstruction_error,anomaly_autoencoder
2657,2025-02-01 02:23:27.959000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:24:27.959000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:26:27.949000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:27:27.942000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:29:27.917000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:30:27.917000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:32:27.908000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:33:27.901000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:35:27.894000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:36:27.894000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:38:27.874000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:39:27.860000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:41:27.862000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:42:27.862000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:44:27.846000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:45:27.839000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:47:27.834000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:48:27.834000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:50:27.806000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:51:27.799000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:53:27.792000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:54:27.792000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:56:27.787000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:57:27.777000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 02:59:27.752000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:00:27.752000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 03:02:27.745000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
